batch,start.time,v.M,stat.run.time
batch53-fs,20180706-214359:658,0,2.027
batch53-fs,20180703-145702:792,22,334.047
batch58-fs,20180712-100647:042,0,232.503
batch58-fs,20180712-100656:947,14,230.366
batch58-fs,20180712-100744:093,0,232.103
batch58-fs,20180712-100747:860,0,232.513
batch58-fs,20180712-100845:277,0,230.515
batch58-fs,20180712-100850:469,66,236.048
batch58-fs,20180712-101025:404,0,235.032
batch58-fs,20180712-101043:211,0,238.104
batch58-fs,20180712-101135:622,0,234.254
batch58-fs,20180712-101135:623,12,239.663
batch58-fs,20180712-101213:013,19,239.021
batch58-fs,20180712-101236:876,0,244.078
batch58-fs,20180712-101355:569,0,235.058
batch58-fs,20180712-101415:575,0,250.342
batch58-fs,20180712-101000:324,10,325.986
batch58-fs,20180712-101458:120,0,246.212
batch58-fs,20180712-101512:868,11,237.571
batch58-fs,20180712-101538:538,0,239.425
batch58-fs,20180712-101611:825,0,231.66
batch58-fs,20180712-101057:191,3,322.227000000001
batch58-fs,20180712-101833:553,0,241.119
batch58-fs,20180712-101849:645,0,237.519
batch58-fs,20180712-101851:983,0,231.337
batch58-fs,20180712-101939:478,0,235.279
batch58-fs,20180712-101828:353,12,336.657
batch58-fs,20180712-101949:883,0,331.795
batch58-fs,20180712-102758:870,5,337.822
batch58-fs,20180712-102851:415,2,329.822
batch61-fs,20180712-202157:630,0,0.655999999999949
batch62-fs,20180715-053025:941,13,276.172
batch62-fs,20180715-054704:915,22,327.049999999999
batch62-fs,20180715-055817:169,57,336.971
batch62-fs,20180715-075112:174,0,0.601000000000568
batch62-fs,20180715-090515:976,25,253.146999999999
batch62-fs,20180715-091816:457,26,298.499
batch62-fs,20180715-101710:903,6,293.301000000001
batch62-fs,20180715-101854:340,19,302.891
batch62-fs,20180716-011435:553,16,370.902
batch63-fs,20180714-232429:535,0,70.7879999999986
batch63-fs,20180715-064242:696,19,395.933999999999
batch63-fs,20180715-072136:901,17,386.308999999999
batch63-fs,20180715-073329:615,20,396.903
batch63-fs,20180715-073658:450,20,388.789000000001
batch63-fs,20180715-073851:638,20,402.075000000001
batch63-fs,20180715-074517:840,22,387.664999999999
batch63-fs,20180715-075347:190,22,388.779999999999
batch63-fs,20180715-080354:824,74,399.915999999999
batch63-fs,20180715-115157:531,32,315.796
batch63-fs,20180715-120442:406,19,318.074000000001
batch63-fs,20180715-122643:539,96,313.905999999999
batch63-fs,20180715-123417:903,12,316.280999999999
batch63-fs,20180715-124053:645,94,322.679
batch63-fs,20180715-125304:200,56,312.99
batch63-fs,20180715-144945:918,37,317.400000000001
batch63-fs,20180715-152004:990,4,315.641
batch63-fs,20180716-010220:148,71,328.371999999999
batch63-fs,20180716-011232:755,10,312.950000000001
