20170806-145607:935,1,0,1,1,0,FALSE,4.307
20170806-150509:432,1,0,1,1,0,FALSE,4.421
20170806-151151:259,1,0,1,1,0,FALSE,4.626
20170806-151723:881,1,0,1,1,0,FALSE,4.746
20170806-152254:677,1,0,1,1,0,FALSE,4.812
20170806-152819:063,1,0,1,1,0,FALSE,4.688
20170806-145607:935,1,0,1,1,0,FALSE,4.984
20170806-150509:432,1,0,1,1,0,FALSE,4.96
20170806-151151:259,1,0,1,1,0,FALSE,5.236
20170806-151723:881,1,0,1,1,0,FALSE,6.962
20170806-152254:677,1,0,1,1,0,FALSE,5.697
20170806-152819:063,1,0,1,1,0,FALSE,7.927
20170806-145607:935,1,0,1,1,1,FALSE,4.124
20170806-150509:432,1,0,1,1,1,FALSE,4.062
20170806-151151:259,1,0,1,1,1,FALSE,4.122
20170806-151723:881,1,0,1,1,1,FALSE,4.071
20170806-152254:677,1,0,1,1,1,FALSE,4.726
20170806-152819:063,1,0,1,1,1,FALSE,5.218
20170806-153422:751,1,0,1,1,1,FALSE,5.733
20170806-154056:655,1,0,1,1,1,FALSE,4.636
20170806-154757:626,1,0,1,1,1,FALSE,9.038
20170806-155318:964,1,0,1,1,1,FALSE,6.82
20170806-162221:832,1,0,1,1,1,FALSE,4.599
20170806-164715:411,1,1,0,1,0,FALSE,3.913
20170806-165446:569,1,1,0,1,0,FALSE,4.118
20170806-170307:400,1,1,1,1,0,FALSE,3.571
20170806-170857:315,1,1,1,1,0,FALSE,3.482
20170806-171159:426,1,1,1,1,0,FALSE,3.473
20170806-170307:400,1,1,1,1,0,FALSE,5.226
20170806-170857:315,1,1,1,1,0,FALSE,5.376
20170806-171159:426,1,1,1,1,0,FALSE,5.085
20170806-171506:088,1,1,1,1,0,FALSE,5.246
20170806-171813:400,1,1,1,1,0,FALSE,5.685
20170807-080621:224,1,1,1,1,0,FALSE,5.156
20170807-081315:252,1,1,1,1,0,FALSE,5.191
